Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases,NewColumn
17-03-2020,Rajasthan,27.0238,74.2179,4,0,3,0,0,0,7127129.0,1761664.0,5388.0,10776.0
17-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,2656926.0,1003559.0,9287.0,18574.0
17-03-2020,Telengana,18.1124,79.0193,5,0,1,2,0,0,5117.0,16357.0,1671.0,3342.0
17-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,3,0,0,0,0,0,400466.0,13182.0,11986.0,23972.0
17-03-2020,Union Territory of Ladakh,34.2996,78.2932,6,0,0,2,0,0,24841314.0,3708347.0,78349.0,156698.0
17-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,389677.0,13514.0,3873.0,7746.0
18-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,471036328.0,11548089.0,473589.0,947178.0
18-03-2020,Delhi,28.7041,77.1025,10,1,2,2,0,0,6486117.0,646921.0,239.0,478.0
18-03-2020,Haryana,29.0588,76.0856,17,0,0,2,0,0,3078533.0,576684.0,82.0,164.0
18-03-2020,Kerala,10.8505,76.2711,27,0,3,1,0,0,236268.0,49455.0,29216.0,58432.0
18-03-2020,Maharashtra,19.7515,75.7139,42,1,0,3,0,0,1021394.0,69549.0,747.0,1494.0
18-03-2020,Odisha,20.9517,85.0985,1,0,0,0,0,0,18553837.0,2477725.0,8305.0,16610.0
18-03-2020,Puducherry,11.9416,79.8083,1,0,0,0,0,0,20927607.0,3551493.0,66506.0,133012.0
18-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,146269.0,52479.0,240.0,480.0
18-03-2020,Rajasthan,27.0238,74.2179,4,0,3,0,0,0,16207475.0,60634.0,706841.0,1413682.0
18-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,3,0,0,0,0,0,17270775.0,4273599.0,70772.0,141544.0
18-03-2020,Union Territory of Ladakh,34.2996,78.2932,8,0,0,2,0,0,264799.0,22746.0,12.0,24.0
18-03-2020,Uttar Pradesh,26.8467,80.9462,16,0,5,1,0,0,735638.0,36727.0,23.0,46.0
18-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,518262.0,10110.0,928.0,1856.0
18-03-2020,West Bengal,22.9868,87.855,1,0,0,0,0,0,726218.0,141354.0,9418.0,18836.0
19-03-2020,Chhattisgarh,21.2787,81.8661,1,0,0,0,0,0,160622710.0,14951238.0,3040.0,6080.0
19-03-2020,Delhi,28.7041,77.1025,12,1,3,2,0,1,505354.0,5963.0,47.0,94.0
19-03-2020,Haryana,29.0588,76.0856,17,0,0,0,0,0,2612795.0,100205.0,60268.0,120536.0
19-03-2020,Karnataka,15.3173,75.7139,14,1,0,3,0,0,519264096.0,21677896.0,305201.0,610402.0
19-03-2020,Maharashtra,19.7515,75.7139,47,1,0,5,0,0,159103283.0,886128.0,14054.0,28108.0
19-03-2020,Odisha,20.9517,85.0985,1,0,0,0,0,0,6114822.0,892434.0,2893.0,5786.0
19-03-2020,Puducherry,11.9416,79.8083,1,0,0,0,0,0,1016882505.0,81244260.0,1938567.0,3877134.0
19-03-2020,Punjab,31.1471,75.3412,2,1,0,1,0,0,1377915.0,236974.0,191.0,382.0
19-03-2020,Rajasthan,27.0238,74.2179,7,0,3,3,0,0,24976.0,7974.0,469.0,938.0
19-03-2020,Tamil Nadu,11.1271,78.6569,2,0,1,1,0,1,3359014.0,516170.0,1040.0,2080.0
19-03-2020,Telengana,18.1124,79.0193,6,0,1,0,0,0,85811485.0,9355040.0,1298525.0,2597050.0
19-03-2020,Union Territory of Ladakh,34.2996,78.2932,8,0,0,0,0,0,265253.0,9009.0,661.0,1322.0
19-03-2020,Uttar Pradesh,26.8467,80.9462,19,0,9,3,0,4,3452554.0,315997.0,611.0,1222.0
19-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,2287793.0,242417.0,1307.0,2614.0
20-03-2020,Andhra Pradesh,15.9129,79.74,2,0,0,0,0,0,856.0,4.0,1930.0,3860.0
20-03-2020,Chhattisgarh,21.2787,81.8661,1,0,0,0,0,0,974.0,88.0,8500.0,17000.0
20-03-2020,Delhi,28.7041,77.1025,17,1,3,5,0,0,7877.0,755.0,15355.0,30710.0
20-03-2020,Gujarat,22.2587,71.1924,2,0,0,0,0,0,7377.0,0.0,6980.0,13960.0
20-03-2020,Haryana,29.0588,76.0856,17,0,0,0,0,0,2516.0,83337.0,66.0,132.0
20-03-2020,Karnataka,15.3173,75.7139,15,1,0,1,0,0,18.0,80568.0,99.0,198.0
20-03-2020,Maharashtra,19.7515,75.7139,47,1,0,0,0,0,55.0,452.0,83515.0,167030.0
20-03-2020,Odisha,20.9517,85.0985,1,0,0,0,0,0,599.0,799.0,573.0,1146.0
20-03-2020,Puducherry,11.9416,79.8083,1,0,0,0,0,0,967.0,9.0,33948.0,67896.0
20-03-2020,Punjab,31.1471,75.3412,2,1,0,0,0,0,5615.0,2.0,6150.0,12300.0
20-03-2020,Rajasthan,27.0238,74.2179,7,0,3,0,0,0,5636.0,1108.0,3275.0,6550.0
20-03-2020,Tamil Nadu,11.1271,78.6569,3,0,1,1,0,0,5.0,9289.0,53549.0,107098.0
20-03-2020,Union Territory of Chandigarh,30.7333,76.7794,1,0,0,0,0,0,856.0,4.0,1930.0,3860.0
20-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,4,0,0,0,0,0,974.0,88.0,8500.0,17000.0
20-03-2020,Union Territory of Ladakh,34.2996,78.2932,10,0,0,2,0,0,7877.0,755.0,15355.0,30710.0
20-03-2020,Uttar Pradesh,26.8467,80.9462,19,0,9,0,0,0,7377.0,0.0,6980.0,13960.0
20-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,2516.0,83337.0,66.0,132.0
20-03-2020,West Bengal,22.9868,87.855,1,0,0,0,0,0,18.0,80568.0,99.0,198.0
21-03-2020,Chandigarh,30.7333,76.7794,1,0,0,0,0,0,55.0,452.0,83515.0,167030.0
21-03-2020,Chhattisgarh,21.2787,81.8661,1,0,0,0,0,0,599.0,799.0,573.0,1146.0
21-03-2020,Delhi,28.7041,77.1025,26,1,5,9,0,2,967.0,9.0,33948.0,67896.0
21-03-2020,Gujarat,22.2587,71.1924,7,0,0,5,0,0,5615.0,2.0,6150.0,12300.0
21-03-2020,Haryana,29.0588,76.0856,17,0,0,0,0,0,5636.0,1108.0,3275.0,6550.0
21-03-2020,Himachal Pradesh,31.1048,77.1734,2,0,0,0,0,0,5.0,9289.0,53549.0,107098.0
21-03-2020,Karnataka,15.3173,75.7139,15,1,1,0,0,1,951337.0,162202.0,9375.0,18750.0
21-03-2020,Kerala,10.8505,76.2711,40,0,3,12,0,0,1817530.0,271826.0,251.0,502.0
21-03-2020,Ladakh,34.2996,78.2932,13,0,0,0,0,0,230861.0,178371.0,80570.0,161140.0
21-03-2020,Madhya Pradesh,22.9734,78.6569,4,0,0,0,0,0,249838.0,41021.0,982.0,1964.0
21-03-2020,Maharashtra,19.7515,75.7139,63,1,0,16,0,0,1499795.0,97149.0,145.0,290.0
21-03-2020,Odisha,20.9517,85.0985,2,0,0,1,0,0,51382.0,2916.0,59.0,118.0
21-03-2020,Puducherry,11.9416,79.8083,1,0,0,0,0,0,18901.0,7511.0,73.0,146.0
21-03-2020,Punjab,31.1471,75.3412,13,1,0,11,0,0,35716069.0,8895999.0,76591.0,153182.0
21-03-2020,Rajasthan,27.0238,74.2179,17,0,3,10,0,0,3068217.0,412048.0,2225.0,4450.0
21-03-2020,Tamil Nadu,11.1271,78.6569,3,0,1,0,0,0,177885.0,35199.0,281.0,562.0
21-03-2020,Telengana,18.1124,79.0193,21,0,1,5,0,0,70885598.0,6199822.0,386179.0,772358.0
21-03-2020,Uttar Pradesh,26.8467,80.9462,24,0,9,5,0,0,185034905.0,4135885.0,58304.0,116608.0
