Date,High,Low,Open,Close,Volume,Symbol
13-01-2021,253.95,249.2,251.55,251.64,19528900,Facebook
14-01-2021,255.03,244.61,253.4,245.64,29739400,Facebook
15-01-2021,253.86,247.16,247.9,251.36,24942900,Facebook
19-01-2021,262.2,252.72,256.9,261.1,28028500,Facebook
20-01-2021,270.32,263.6,268.93,267.48,25199900,Facebook
21-01-2021,273.6,267.49,269.26,272.87,20838700,Facebook
22-01-2021,278.47,272,272.01,274.5,21954000,Facebook
25-01-2021,280.1,271.51,278.14,278.01,19087000,Facebook
26-01-2021,285.39,277.81,278.14,282.05,19373600,Facebook
27-01-2021,283.45,268.12,282.53,272.14,35346200,Facebook
28-01-2021,286.79,264.7,277.18,265,37758800,Facebook
29-01-2021,266.56,254.85,265.3,258.33,30389500,Facebook
1/2/2021,264.17,254.91,259.52,262.01,22914300,Facebook
2/2/2021,268.85,263.27,264,267.08,17320800,Facebook
3/2/2021,269.2,263.84,265.62,266.65,14223400,Facebook
4/2/2021,268.16,264,267.01,266.49,16060000,Facebook
5/2/2021,269.17,265.67,266.8,268.1,12454400,Facebook
8/2/2021,269.86,265,268.75,266.58,13755200,Facebook
9/2/2021,273.39,265.75,266.44,269.45,14613400,Facebook
10/2/2021,273.8,267.72,272.45,271.87,14687200,Facebook
11/2/2021,273.58,268.49,271.89,270.39,12828600,Facebook
12/2/2021,271.18,268.34,270.52,270.5,9097600,Facebook
16-02-2021,276.6,270.05,270.8,273.97,15417200,Facebook
17-02-2021,273.97,269.58,271.24,273.57,12763200,Facebook
18-02-2021,271.95,266.03,269.57,269.39,15249100,Facebook
19-02-2021,270.27,260.15,269.86,261.56,25622600,Facebook
22-02-2021,263.07,257.53,257.95,260.33,17434900,Facebook
23-02-2021,267.46,254.96,259.5,265.86,21924600,Facebook
24-02-2021,266.38,258.39,262.33,264.31,15736100,Facebook
25-02-2021,266.94,254.04,262.3,254.69,19053100,Facebook
26-02-2021,265.55,256.47,256.47,257.62,26619500,Facebook
1/3/2021,266.65,257.9,260.82,264.91,22157300,Facebook
2/3/2021,266.71,258.65,265.78,259,15191700,Facebook
3/3/2021,260.99,255.1,260.29,255.41,15513500,Facebook
4/3/2021,266.49,253.5,256.47,257.64,31626500,Facebook
5/3/2021,265.45,255.61,260.67,264.28,26820100,Facebook
8/3/2021,265.58,255.05,265.55,255.31,18391800,Facebook
9/3/2021,268.53,259.81,261.18,265.74,22039700,Facebook
10/3/2021,268.97,262.87,268.64,264.9,14210300,Facebook
11/3/2021,277.9,267.82,268.11,273.88,21834000,Facebook
12/3/2021,269.74,264.02,269.14,268.4,20600200,Facebook
15-03-2021,275.96,268.5,269.08,273.75,16844800,Facebook
16-03-2021,282.14,274.8,276.08,279.28,22437700,Facebook
17-03-2021,286.23,275.41,275.71,284.01,21315000,Facebook
18-03-2021,285.19,278.28,279.87,278.62,18728300,Facebook
19-03-2021,292.8,281.2,281.22,290.11,38930500,Facebook
22-03-2021,299.71,286.75,290.45,293.54,28273100,Facebook
23-03-2021,298,289.81,293.15,290.63,23000900,Facebook
24-03-2021,291.72,281.16,291,282.14,18675000,Facebook
25-03-2021,288.06,277.75,280.98,278.74,24505600,Facebook
26-03-2021,284.5,277.77,278.3,283.02,17629200,Facebook
29-03-2021,293.18,284.7,285.77,290.82,21718800,Facebook
30-03-2021,292.47,286.7,289.83,288,17474500,Facebook
31-03-2021,296.5,288.61,289.99,294.53,19498200,Facebook
1/4/2021,302.4,296.6,298.4,298.66,17616000,Facebook
5/4/2021,310.77,300.68,300.89,308.91,28237000,Facebook
6/4/2021,311.35,305.25,308.84,306.26,17335200,Facebook
7/4/2021,314.25,305.5,306.34,313.09,22855200,Facebook
8/4/2021,315.88,310.05,314.85,313.02,20894100,Facebook
9/4/2021,314.74,310.33,311.4,312.46,15988600,Facebook
12/4/2021,312.15,307.93,311.05,311.54,10881900,Facebook
13-04-2021,314.43,309.32,312.21,309.76,14036900,Facebook
14-04-2021,308.03,301.95,307.3,302.82,17421400,Facebook
15-04-2021,310.14,304.1,306.34,307.82,14558300,Facebook
16-04-2021,308.95,304.61,308.17,306.18,13059200,Facebook
19-04-2021,307.7,300.56,305.01,302.24,14553500,Facebook
20-04-2021,305.1,297.21,301.99,302.65,16796400,Facebook
21-04-2021,301.98,297.39,301.95,301.47,14863500,Facebook
22-04-2021,302.92,296.04,301.33,296.52,16375400,Facebook
23-04-2021,302.59,297.15,298.76,301.13,17536800,Facebook
26-04-2021,305.8,301.56,303.34,303.04,16172600,Facebook
27-04-2021,305.34,301.11,304.28,303.57,15309300,Facebook
28-04-2021,310.92,305.37,307.36,307.1,33907200,Facebook
29-04-2021,331.81,321.61,330.12,329.51,56526800,Facebook
30-04-2021,329.82,324.5,326.14,325.08,26332400,Facebook
3/5/2021,328.55,321.84,326.17,322.58,18719500,Facebook
4/5/2021,322.19,313.12,320.02,318.36,24032600,Facebook
5/5/2021,321.06,314.49,318.19,315.02,15577600,Facebook
6/5/2021,320.24,313.27,314.52,320.02,19012200,Facebook
7/5/2021,322.94,318.75,322.38,319.08,15916700,Facebook
10/5/2021,314.58,304.83,314.35,305.97,24239200,Facebook
11/5/2021,306.84,299.69,300.75,306.53,18920100,Facebook
12/5/2021,304.96,298.19,301.13,302.55,24645500,Facebook
