Date,Open,High,Low,Close,Volume,Symbol
28/10/2020,87.34999847,87.90000153,85.30999756,86.98999786,1178600,INCY
29/10/2020,86.94000244,87.98999786,85.48000336,87.01999664,691800,INCY
30/10/2020,86.55000305,86.83999634,83.44000244,86.63999939,1105300,INCY
2/11/2020,86.59999847,86.59999847,81.87000275,84.44000244,983900,INCY
3/11/2020,84.58999634,86.16999817,83.93000031,84.94999695,1085400,INCY
4/11/2020,87.62000275,92.38999939,87.48000336,91.20999908,2087400,INCY
5/11/2020,87.25,91.05000305,84.37000275,84.65000153,3100000,INCY
6/11/2020,85.16999817,85.19999695,82.36000061,83.15000153,1565900,INCY
9/11/2020,83.38999939,84.02999878,80.59999847,81.27999878,1795500,INCY
10/11/2020,80.91999817,84.94000244,80.65000153,83.06999969,1618600,INCY
11/11/2020,84.19999695,84.94000244,82.22000122,82.76000214,742500,INCY
12/11/2020,82.55999756,83.93000031,81.76000214,82.31999969,768800,INCY
13/11/2020,82.34999847,83.23000336,81.95999908,82.52999878,656700,INCY
16/11/2020,83.01000214,84.93000031,82.23000336,84.34999847,901600,INCY
17/11/2020,83.84999847,83.84999847,82.26000214,82.98000336,790700,INCY
18/11/2020,83.11000061,84.63999939,82.36000061,82.73999786,894200,INCY
19/11/2020,83.09999847,83.41999817,81.02999878,81.69000244,1525300,INCY
20/11/2020,81.75,82.16999817,80.01000214,81.93000031,2272400,INCY
23/11/2020,82.41999817,83.40000153,81.33000183,81.38999939,1178800,INCY
24/11/2020,81.40000153,82.13999939,80.62000275,80.73999786,1037000,INCY
25/11/2020,81.33999634,82.34999847,80.94999695,81.16000366,642000,INCY
27/11/2020,82.01000214,83.98999786,81.23000336,83.25,747900,INCY
30/11/2020,83.05000305,84.97000122,82.88999939,84.54000092,3216900,INCY
1/12/2020,84.45999908,85.73000336,83.75,85.41999817,886500,INCY
2/12/2020,85.61000061,85.61000061,82.01000214,82.26999664,1069500,INCY
3/12/2020,81.91999817,83.59999847,81.15000153,82.90000153,881500,INCY
4/12/2020,83.05999756,83.86000061,82.41000366,83.13999939,862600,INCY
7/12/2020,83.44000244,83.94999695,82.22000122,83.05999756,744500,INCY
8/12/2020,83.19999695,83.19999695,82.08999634,82.84999847,697200,INCY
9/12/2020,82.79000092,82.79000092,80.62000275,80.95999908,946000,INCY
10/12/2020,81.22000122,82.38999939,80.81999969,82.05000305,918900,INCY
11/12/2020,81.76000214,82.22000122,80.79000092,81.30000305,1004900,INCY
14/12/2020,83.19999695,87.5,82.87000275,86.80999756,1717400,INCY
15/12/2020,87.22000122,87.51999664,85.16999817,86.26999664,1080100,INCY
16/12/2020,85.93000031,87.29000092,85.5,86.23000336,924200,INCY
17/12/2020,86.97000122,88.36000061,86.31999969,88.27999878,846500,INCY
18/12/2020,89.02999878,89.33999634,87.44000244,88.33999634,2954500,INCY
21/12/2020,87.44999695,87.90000153,85.47000122,86.97000122,983400,INCY
22/12/2020,87.11000061,88.41999817,86.04000092,87.98999786,738300,INCY
23/12/2020,88.69000244,88.95999908,87.54000092,87.93000031,491100,INCY
24/12/2020,87.94999695,88.37000275,87.04000092,87.37000275,182100,INCY
28/12/2020,87.73000336,88.15000153,86.04000092,86.33999634,1210300,INCY
29/12/2020,87.12999725,87.44000244,85.12999725,85.87000275,739500,INCY
30/12/2020,86.45999908,89.34999847,86.12000275,86.86000061,594000,INCY
31/12/2020,86.54000092,87.16999817,85.33000183,86.98000336,561100,INCY
4/1/2021,86.98000336,87.48000336,83.30999756,86.44999695,1567400,INCY
